
Host: rh05314.villa-bosch.de

Timers On : Wed Feb  5 11:57:50 2020
Timers Off: Wed Feb  5 11:57:52 2020

Wall Time:        2.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| Functional                        :      0.250u      0.017s      0.140w   1142 calls
| V_xc                              :      0.050u      0.000s      0.062w   1142 calls

**************************************************************************************

Host: rh05314.villa-bosch.de

Timers On : Wed Feb  5 13:52:25 2020
Timers Off: Wed Feb  5 13:52:27 2020

Wall Time:        1.16 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.050u      0.017s      0.042w      2 calls
JK: (A|mn)                          :      0.017u      0.000s      0.011w      1 calls
JK: (A|Q)^-1/2                      :      0.033u      0.000s      0.023w      1 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)^L                        :      0.017u      0.000s      0.006w      1 calls
JK: (A|Q)^-1                        :      0.033u      0.000s      0.023w      1 calls
JK: (Q|mn)^L                        :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)^R                        :      0.017u      0.000s      0.008w      1 calls
JK: D                               :      0.000u      0.000s      0.000w      2 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      2 calls
JK: JK                              :      0.000u      0.000s      0.007w      2 calls
JK: J                               :      0.000u      0.000s      0.000w      2 calls
JK: J1                              :      0.000u      0.000s      0.000w      4 calls
JK: J2                              :      0.000u      0.000s      0.000w      4 calls
JK: K                               :      0.000u      0.000s      0.002w      2 calls
JK: K1                              :      0.000u      0.000s      0.002w      4 calls
JK: K2                              :      0.000u      0.000s      0.000w      4 calls
JK: wK                              :      0.000u      0.000s      0.004w      6 calls
JK: wK1                             :      0.000u      0.000s      0.004w     24 calls
JK: wK2                             :      0.000u      0.000s      0.000w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      2 calls
UV: Form V                          :      0.583u      0.000s      0.348w      2 calls
Properties                          :      0.183u      0.000s      0.104w   1142 calls
Functional                          :      0.250u      0.000s      0.165w   1142 calls
V_xc                                :      0.150u      0.000s      0.077w   1142 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.050u      0.017s      0.042w      2 calls
JK: (A|mn)                          :      0.017u      0.000s      0.011w      1 calls
JK: (A|Q)^-1/2                      :      0.033u      0.000s      0.023w      1 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)^L                        :      0.017u      0.000s      0.006w      1 calls
JK: (A|Q)^-1                        :      0.033u      0.000s      0.023w      1 calls
JK: (Q|mn)^L                        :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)^R                        :      0.017u      0.000s      0.008w      1 calls
JK: D                               :      0.000u      0.000s      0.000w      2 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      2 calls
JK: JK                              :      0.000u      0.000s      0.007w      2 calls
| JK: J                             :      0.000u      0.000s      0.000w      2 calls
| | JK: J1                          :      0.000u      0.000s      0.000w      4 calls
| | JK: J2                          :      0.000u      0.000s      0.000w      4 calls
| JK: K                             :      0.000u      0.000s      0.002w      2 calls
| | JK: K1                          :      0.000u      0.000s      0.002w      4 calls
| | JK: K2                          :      0.000u      0.000s      0.000w      4 calls
| JK: wK                            :      0.000u      0.000s      0.004w      6 calls
| | JK: wK1                         :      0.000u      0.000s      0.004w     24 calls
| | JK: wK2                         :      0.000u      0.000s      0.000w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      2 calls
UV: Form V                          :      0.583u      0.000s      0.348w      2 calls
| Properties                        :      0.183u      0.000s      0.104w   1142 calls
| Functional                        :      0.250u      0.000s      0.165w   1142 calls
| V_xc                              :      0.150u      0.000s      0.077w   1142 calls

**************************************************************************************

Host: rh05314.villa-bosch.de

Timers On : Wed Feb  5 14:14:21 2020
Timers Off: Wed Feb  5 14:14:23 2020

Wall Time:        2.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.033u      0.017s      0.037w      2 calls
DFH: initialize()                   :      0.083u      0.000s      0.053w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.014w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.004w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      1 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.000u      0.000s      0.001w      7 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.001w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      7 calls
UV: Form V                          :      2.650u      0.000s      1.576w      7 calls
Properties                          :      1.017u      0.000s      0.664w   3997 calls
Functional                          :      0.850u      0.000s      0.444w   3997 calls
V_xc                                :      0.767u      0.000s      0.458w   3997 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.033u      0.017s      0.037w      2 calls
DFH: initialize()                   :      0.083u      0.000s      0.053w      1 calls
| DFH: sparsity prep                :      0.033u      0.000s      0.014w      1 calls
| DFH: AO Construction              :      0.000u      0.000s      0.004w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      1 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.000u      0.000s      0.001w      7 calls
| DFH: compute_JK()                 :      0.000u      0.000s      0.001w      7 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w      7 calls
| | DFH: compute_J                  :      0.000u      0.000s      0.001w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      7 calls
UV: Form V                          :      2.650u      0.000s      1.576w      7 calls
| Properties                        :      1.017u      0.000s      0.664w   3997 calls
| Functional                        :      0.850u      0.000s      0.444w   3997 calls
| V_xc                              :      0.767u      0.000s      0.458w   3997 calls

**************************************************************************************
